No,部屋名,X座標,Y座標,radius,イベント順序,イベント名,イベント本文,選択肢１名称,選択肢１本文（結果）,選択肢１経過時間,選択肢２名称,選択肢２本文（結果）,選択肢２経過時間,選択肢３名称,選択肢３本文（結果）,選択肢３経過時間,選択肢４名称,選択肢４本文（結果）,選択肢４経過時間
39,RI室,952,105,20,1,予約票散乱,個人情報。,回収・裏返し,漏洩防止。,3,捨てる,問題。,0,配る,大問題。,0,保留,対応を後回しにし、状況を見る。,1
39,RI室,952,105,20,2,電話対応,問い合わせ殺到。,災害用アナウンス,混乱収拾。,2,受話器上げる,着信拒否。,1,怒鳴る,炎上。,0,保留,対応を後回しにし、状況を見る。,1
39,RI室,952,105,20,3,受付PC,倒れそう。,横にする,破損防止。,1,水拭き,故障。,5,持ち帰る,窃盗。,0,保留,対応を後回しにし、状況を見る。,1
40,B-MRI室,83,262,10,1,クエンチ発生,白煙と爆音。,退室・扉閉鎖,窒息防止。,1,中に入る,窒息死。,0,換気扇強,ガス拡散。,2,保留,対応を後回しにし、状況を見る。,1
40,B-MRI室,83,262,10,2,磁場警戒,停電中。,磁性体持込禁止,吸着事故防止。,2,持ち込む,ミサイル効果。,0,ブレーカー断,磁場消えない。,1,保留,対応を後回しにし、状況を見る。,1
40,B-MRI室,83,262,10,3,吸着確認,ハサミが貼り付いている。,触らず封鎖,怪我防止。,2,剥がす,指切断。,0,蹴る,怪我。,0,保留,対応を後回しにし、状況を見る。,1
41,B-MRI室前室,150,287,10,1,酸素濃度計,アラーム鳴動。,退避・換気,酸欠防止。,2,無視,意識消失。,0,深呼吸,危険。,0,保留,対応を後回しにし、状況を見る。,1
41,B-MRI室前室,150,287,10,2,ガラス割れ,監視窓破損。,テープ養生,飛散防止。,3,顔を出す,怪我。,0,割る,悪化。,0,保留,対応を後回しにし、状況を見る。,1
41,B-MRI室前室,150,287,10,3,患者通話,インターホン不通。,ドア越しに大声,安否確認。,2,入室,吸着リスク。,5,放置,患者不安。,10,保留,対応を後回しにし、状況を見る。,1
42,A-MRI室,729,669,10,1,ドア変形,シールドドア開かない。,窓破壊・搬出,人命優先。,15,こじ開ける,困難。,10,諦める,見殺し。,0,保留,対応を後回しにし、状況を見る。,1
42,A-MRI室,729,669,10,2,ヘリウム排気管,亀裂発見。,立入禁止,酸欠防止。,2,塞ぐ,破裂。,5,吸う,声が変わる・窒息。,0,保留,対応を後回しにし、状況を見る。,1
42,A-MRI室,729,669,10,3,冷却水漏れ,チラー異常。,電源断,故障防止。,3,水足す,感電。,0,舐める,中毒。,0,保留,対応を後回しにし、状況を見る。,1
43,MRI（CPU),680,673,15,1,機械室異音,ガス噴射音。,入室禁止,窒息回避。,1,入る,死亡。,0,耳を澄ます,危険。,1,保留,対応を後回しにし、状況を見る。,1
43,MRI（CPU),680,673,15,2,グレーディング音,異音。,スキャン停止,機器保護。,2,続行,故障。,5,叩く,破壊。,0,保留,対応を後回しにし、状況を見る。,1
43,MRI（CPU),680,673,15,3,発熱,空調停止。,ドア開放,冷却。,2,氷置く,水没故障。,0,仰ぐ,効果薄。,1,保留,対応を後回しにし、状況を見る。,1
44,MRI前室,820,663,10,1,ストレッチャー吸着,磁場に引き寄せられる。,ブレーキ・保持,吸着事故防止。,2,手を放す,激突・破損。,0,乗る,激突・死傷。,0,保留,対応を後回しにし、状況を見る。,1
44,MRI前室,820,663,10,2,金属探知機,転倒。,起こす,通行確保。,1,またぐ,転倒。,1,壊す,器物損壊。,0,保留,対応を後回しにし、状況を見る。,1
44,MRI前室,820,663,10,3,問診票,散乱。,回収,情報保護。,2,踏む,滑る。,1,捨てる,情報紛失。,0,保留,対応を後回しにし、状況を見る。,1
45,スタッフ通路（狭）,455,503,5,1,薬品棚崩壊,異臭。,迂回・封鎖,中毒回避。,3,片付ける,ガス吸引。,10,換気,拡散。,2,保留,対応を後回しにし、状況を見る。,1
45,スタッフ通路（狭）,455,503,5,2,防火扉閉鎖,閉まっている。,熱確認・微開放,バックドラフト防止。,3,全開,火炎直撃。,0,無視,避難不可。,5,保留,対応を後回しにし、状況を見る。,1
45,スタッフ通路（狭）,455,503,5,3,倒壊下敷き,同僚が挟まれる。,ジャッキアップ救助,安全救出。,10,引く,悪化。,5,一人で持つ,共倒れ。,2,保留,対応を後回しにし、状況を見る。,1
46,CT室前廊下,386,401,10,1,スプリンクラー,放水中。,迂回誘導,濡れ・冷え防止。,3,傘さす,片手塞がる。,2,元栓探す,不明。,10,保留,対応を後回しにし、状況を見る。,1
46,CT室前廊下,386,401,10,2,認知症患者,徘徊。,保護・誘導,二次被害防止。,5,怒鳴る,パニック。,2,無視,行方不明。,0,保留,対応を後回しにし、状況を見る。,1
46,CT室前廊下,386,401,10,3,トリアージ,患者溢れる。,エリア分け,動線確保。,10,CTへ入れる,パンク。,5,棒立ち,邪魔。,5,保留,対応を後回しにし、状況を見る。,1
47,放射線治療室,109,140,20,1,自動扉,ガラスが割れており、自動扉がふさがったまま,迂回する,危険なので後回しにする。,1,近くにあった椅子で封鎖,2次災害を防ぐ,5,張り紙を貼る,見えないかもしれない,2,保留,対応を後回しにし、状況を見る。,1
48,放射線治療室,109,140,29,1,物が散乱,機材倉庫の棚から資材が落下,懐中電灯の発見,取得,1,危険と判断し、封鎖,2次災害を防ぐ,2,使えるものを探す,物で指を怪我する,5,保留,対応を後回しにし、状況を見る。,1
43,B-MRI（CPU),680,673,10,1,機械室異音,ガス噴射音。,入室禁止,窒息回避。,1,入る,死亡。,0,耳を澄ます,危険。,1,保留,対応を後回しにし、状況を見る。,1
43,B-MRI（CPU),680,673,10,2,グレーディング音,異音。,スキャン停止,機器保護。,2,続行,故障。,5,叩く,破壊。,0,保留,対応を後回しにし、状況を見る。,1
43,B-MRI（CPU),680,673,10,3,発熱,空調停止。,ドア開放,冷却。,2,氷置く,水没故障。,0,仰ぐ,効果薄。,1,保留,対応を後回しにし、状況を見る。,1
